index,StroopText,StroopColor,StroopCondition,correct,is_practice,practice_cue,practice_cont
0,Orange,white,Word,orange,yes,"(Say ""Orange"")",Press SPACE to continue.
1,Yellow,green,CW,green,yes,"(Say ""Green"")",Press SPACE to continue.
2,******,purple,Color,purple,yes,"(Say ""Purple"")",Press SPACE to continue.
3,*****,green,Color,green,yes,"(Say ""Green"")",Press SPACE to continue.
4,Orange,blue,CW,blue,yes,"(Say ""Blue"")",Press SPACE to continue.
5,Green,purple,CW,purple,yes,"(Say ""Purple"")",Press SPACE to continue.
6,Yellow,orange,CW,orange,no,,
7,Green,white,Word,green,no,,
8,Red,purple,CW,purple,no,,
9,Orange,white,Word,orange,no,,
10,Green,yellow,CW,yellow,no,,
11,Blue,purple,CW,purple,no,,
12,Yellow,white,Word,yellow,no,,
13,***,red,Color,red,no,,
14,******,purple,Color,purple,no,,
15,Green,blue,CW,blue,no,,
16,***,red,Color,red,no,,
17,Orange,white,Word,orange,no,,
18,Red,white,Word,red,no,,
19,Orange,white,Word,orange,no,,
20,****,blue,Color,blue,no,,
21,Orange,yellow,CW,yellow,no,,
22,******,purple,Color,purple,no,,
23,Red,green,CW,green,no,,
24,Blue,white,Word,blue,no,,
25,Green,orange,CW,orange,no,,
26,Yellow,red,CW,red,no,,
27,Blue,white,Word,blue,no,,
28,******,yellow,Color,yellow,no,,
29,*****,green,Color,green,no,,
30,Purple,orange,CW,orange,no,,
31,Blue,red,CW,red,no,,
32,******,yellow,Color,yellow,no,,
33,Purple,green,CW,green,no,,
34,Orange,white,Word,orange,no,,
35,*****,green,Color,green,no,,
36,******,orange,Color,orange,no,,
37,Yellow,white,Word,yellow,no,,
38,Purple,white,Word,purple,no,,
39,Red,white,Word,red,no,,
40,******,yellow,Color,yellow,no,,
41,Green,white,Word,green,no,,
42,****,blue,Color,blue,no,,
43,******,purple,Color,purple,no,,
44,Yellow,blue,CW,blue,no,,
45,Purple,white,Word,purple,no,,
46,Red,white,Word,red,no,,
47,Orange,purple,CW,purple,no,,
48,***,red,Color,red,no,,
49,Blue,white,Word,blue,no,,
50,Yellow,purple,CW,purple,no,,
51,Blue,orange,CW,orange,no,,
52,Purple,white,Word,purple,no,,
53,Orange,red,CW,red,no,,
54,*****,green,Color,green,no,,
55,******,orange,Color,orange,no,,
56,Green,red,CW,red,no,,
57,******,yellow,Color,yellow,no,,
58,Red,blue,CW,blue,no,,
59,Purple,yellow,CW,yellow,no,,
