index,StroopText,StroopColor,StroopCondition,correct,is_practice,practice_cue,practice_cont,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,vocal_RT,bad_baseline,filename,participant,session,date,expName,psychopyVersion,frameRate,
0,Orange,white,Word,orange,yes,(Say "Orange"),Press SPACE to continue.,,,,,0,0,0,0,,,,,0.755,False,data/trial_000.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
0,Orange,white,Word,orange,yes,(Say "Orange"),Press SPACE to continue.,,,,,0,0,0,0,,,,,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
1,Yellow,green,CW,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,1,1,1,,,,,0,False,data/trial_001.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
1,Yellow,green,CW,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,1,1,1,,,,,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
2,******,purple,Color,purple,yes,(Say "Purple"),Press SPACE to continue.,,,,,0,2,2,2,,,,,0,False,data/trial_002.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
2,******,purple,Color,purple,yes,(Say "Purple"),Press SPACE to continue.,,,,,0,2,2,2,,,,,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
3,*****,green,Color,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,3,3,3,,,,,1.682,False,data/trial_003.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
3,*****,green,Color,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,3,3,3,,,,,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
4,Orange,blue,CW,blue,yes,(Say "Blue"),Press SPACE to continue.,,,,,0,4,4,4,,,,,1.776,False,data/trial_004.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
4,Orange,blue,CW,blue,yes,(Say "Blue"),Press SPACE to continue.,,,,,0,4,4,4,,,,,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
5,Green,purple,CW,purple,yes,(Say "Purple"),Press SPACE to continue.,,,,,0,5,5,5,,,,,0,False,data/trial_005.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
5,Green,purple,CW,purple,yes,(Say "Purple"),Press SPACE to continue.,,,,,0,5,5,5,,,,,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
6,Yellow,orange,CW,orange,no,None,None,,,,,,,,,0,0,0,0,0,False,data/trial_000.wav,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
6,Yellow,orange,CW,orange,no,None,None,,,,,,,,,0,0,0,0,,,,1,001,2019_Nov_07_0913,Stroop 6-20-19,3.1.5,60.011186085063464,
