index,StroopText,StroopColor,StroopCondition,correct,is_practice,practice_cue,practice_cont,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,vocal_RT,bad_baseline,filename,participant,session,date,expName,psychopyVersion,frameRate,
0,Orange,white,Word,orange,yes,(Say "Orange"),Press SPACE to continue.,,,,,0,0,0,0,0.225,False,data/trial_000.wav,,001,2019_Oct_09_1543,Stroop 6-20-19,3.1.5,60.08239699955491,
0,Orange,white,Word,orange,yes,(Say "Orange"),Press SPACE to continue.,,,,,0,0,0,0,,,,,001,2019_Oct_09_1543,Stroop 6-20-19,3.1.5,60.08239699955491,
1,Yellow,green,CW,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,1,1,1,0.674,False,data/trial_001.wav,,001,2019_Oct_09_1543,Stroop 6-20-19,3.1.5,60.08239699955491,
1,Yellow,green,CW,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,1,1,1,,,,,001,2019_Oct_09_1543,Stroop 6-20-19,3.1.5,60.08239699955491,
2,******,purple,Color,purple,yes,(Say "Purple"),Press SPACE to continue.,,,,,0,2,2,2,0.263,False,data/trial_002.wav,,001,2019_Oct_09_1543,Stroop 6-20-19,3.1.5,60.08239699955491,
2,******,purple,Color,purple,yes,(Say "Purple"),Press SPACE to continue.,,,,,0,2,2,2,,,,,001,2019_Oct_09_1543,Stroop 6-20-19,3.1.5,60.08239699955491,
3,*****,green,Color,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,3,3,3,0.479,False,data/trial_003.wav,,001,2019_Oct_09_1543,Stroop 6-20-19,3.1.5,60.08239699955491,
3,*****,green,Color,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,3,3,3,,,,,001,2019_Oct_09_1543,Stroop 6-20-19,3.1.5,60.08239699955491,
4,Orange,blue,CW,blue,yes,(Say "Blue"),Press SPACE to continue.,,,,,0,4,4,4,0.211,False,data/trial_004.wav,,001,2019_Oct_09_1543,Stroop 6-20-19,3.1.5,60.08239699955491,
4,Orange,blue,CW,blue,yes,(Say "Blue"),Press SPACE to continue.,,,,,0,4,4,4,,,,,001,2019_Oct_09_1543,Stroop 6-20-19,3.1.5,60.08239699955491,
