index,StroopText,StroopColor,StroopCondition,correct,is_practice,practice_cue,practice_cont,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,vocal_RT,bad_baseline,filename,participant,session,date,expName,psychopyVersion,frameRate,
0,Orange,white,Word,orange,yes,(Say "Orange"),Press SPACE to continue.,,,,,0,0,0,0,,,,,0.227,False,data/trial_000.wav,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
0,Orange,white,Word,orange,yes,(Say "Orange"),Press SPACE to continue.,,,,,0,0,0,0,,,,,,,,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
1,Yellow,green,CW,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,1,1,1,,,,,0.245,False,data/trial_001.wav,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
1,Yellow,green,CW,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,1,1,1,,,,,,,,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
2,******,purple,Color,purple,yes,(Say "Purple"),Press SPACE to continue.,,,,,0,2,2,2,,,,,0.37,False,data/trial_002.wav,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
2,******,purple,Color,purple,yes,(Say "Purple"),Press SPACE to continue.,,,,,0,2,2,2,,,,,,,,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
3,*****,green,Color,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,3,3,3,,,,,0.747,False,data/trial_003.wav,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
3,*****,green,Color,green,yes,(Say "Green"),Press SPACE to continue.,,,,,0,3,3,3,,,,,,,,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
4,Orange,blue,CW,blue,yes,(Say "Blue"),Press SPACE to continue.,,,,,0,4,4,4,,,,,0.174,False,data/trial_004.wav,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
4,Orange,blue,CW,blue,yes,(Say "Blue"),Press SPACE to continue.,,,,,0,4,4,4,,,,,,,,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
5,Green,purple,CW,purple,yes,(Say "Purple"),Press SPACE to continue.,,,,,0,5,5,5,,,,,0.174,False,data/trial_005.wav,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
5,Green,purple,CW,purple,yes,(Say "Purple"),Press SPACE to continue.,,,,,0,5,5,5,,,,,,,,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
6,Yellow,orange,CW,orange,no,None,None,,,,,,,,,0,0,0,0,0.73,False,data/trial_000.wav,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
6,Yellow,orange,CW,orange,no,None,None,,,,,,,,,0,0,0,0,,,,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
7,Red,purple,CW,purple,no,None,None,,,,,,,,,0,1,1,1,0.693,False,data/trial_001.wav,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
7,Red,purple,CW,purple,no,None,None,,,,,,,,,0,1,1,1,,,,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
8,Green,yellow,CW,yellow,no,None,None,,,,,,,,,0,2,2,2,0.338,False,data/trial_002.wav,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
8,Green,yellow,CW,yellow,no,None,None,,,,,,,,,0,2,2,2,,,,,001,2019_Oct_09_1554,Stroop 6-20-19,3.1.5,59.87421624714142,
